Date,Close,High,Low,Open,Volume,Symbol Stock
2015-05-01,2.309999942779541,2.309999942779541,2.25,2.259999990463257,11662800,AMD
2015-05-04,2.309999942779541,2.359999895095825,2.299999952316284,2.309999942779541,9670100,AMD
2015-05-05,2.2799999713897705,2.3399999141693115,2.25,2.3399999141693115,12371600,AMD
2015-05-06,2.2899999618530273,2.309999942779541,2.240000009536743,2.2899999618530273,18492100,AMD
2015-05-07,2.319999933242798,2.319999933242798,2.259999990463257,2.319999933242798,15015600,AMD
2015-05-08,2.309999942779541,2.359999895095825,2.299999952316284,2.3299999237060547,9758800,AMD
2015-05-11,2.319999933242798,2.3499999046325684,2.309999942779541,2.309999942779541,10046900,AMD
2015-05-12,2.3499999046325684,2.3499999046325684,2.299999952316284,2.319999933242798,10017500,AMD
2015-05-13,2.369999885559082,2.380000114440918,2.3499999046325684,2.359999895095825,7575900,AMD
2015-05-14,2.3299999237060547,2.390000104904175,2.3299999237060547,2.380000114440918,8865100,AMD
2015-05-15,2.319999933242798,2.380000114440918,2.319999933242798,2.3299999237060547,8054800,AMD
2015-05-18,2.3499999046325684,2.359999895095825,2.3299999237060547,2.3499999046325684,4732800,AMD
2015-05-19,2.2799999713897705,2.369999885559082,2.2799999713897705,2.359999895095825,9588400,AMD
2015-05-20,2.319999933242798,2.3299999237060547,2.2799999713897705,2.299999952316284,6947700,AMD
2015-05-21,2.2799999713897705,2.3499999046325684,2.2799999713897705,2.309999942779541,7127700,AMD
2015-05-22,2.2799999713897705,2.309999942779541,2.2699999809265137,2.299999952316284,12845400,AMD
2015-05-26,2.2200000286102295,2.2799999713897705,2.2200000286102295,2.2699999809265137,10007800,AMD
2015-05-27,2.2799999713897705,2.2799999713897705,2.200000047683716,2.240000009536743,17511000,AMD
2015-05-28,2.2699999809265137,2.3299999237060547,2.2699999809265137,2.2799999713897705,12354600,AMD
2015-05-29,2.2799999713897705,2.319999933242798,2.25,2.2699999809265137,7750500,AMD
2015-06-01,2.25,2.299999952316284,2.25,2.2899999618530273,6803700,AMD
2015-06-02,2.299999952316284,2.299999952316284,2.25,2.259999990463257,7106000,AMD
2015-06-03,2.2799999713897705,2.319999933242798,2.2799999713897705,2.299999952316284,8062300,AMD
2015-06-04,2.3299999237060547,2.3299999237060547,2.259999990463257,2.2799999713897705,11575800,AMD
2015-06-05,2.3299999237060547,2.3399999141693115,2.2899999618530273,2.309999942779541,7349700,AMD
2015-06-08,2.309999942779541,2.3299999237060547,2.2899999618530273,2.309999942779541,6212900,AMD
2015-06-09,2.2899999618530273,2.359999895095825,2.2799999713897705,2.3499999046325684,12282700,AMD
2015-06-10,2.319999933242798,2.3499999046325684,2.299999952316284,2.309999942779541,8161200,AMD
2015-06-11,2.319999933242798,2.3499999046325684,2.309999942779541,2.3399999141693115,7671000,AMD
2015-06-12,2.309999942779541,2.3299999237060547,2.299999952316284,2.309999942779541,4557600,AMD
2015-06-15,2.319999933242798,2.3499999046325684,2.2899999618530273,2.319999933242798,8627800,AMD
2015-06-16,2.3499999046325684,2.369999885559082,2.319999933242798,2.319999933242798,9795000,AMD
2015-06-17,2.4700000286102295,2.5399999618530273,2.3499999046325684,2.369999885559082,27497900,AMD
2015-06-18,2.5199999809265137,2.5899999141693115,2.4800000190734863,2.5,25400200,AMD
2015-06-19,2.5799999237060547,2.5899999141693115,2.4600000381469727,2.5299999713897705,25551700,AMD
2015-06-22,2.619999885559082,2.6700000762939453,2.5799999237060547,2.609999895095825,19410100,AMD
2015-06-23,2.609999895095825,2.640000104904175,2.549999952316284,2.619999885559082,17919600,AMD
2015-06-24,2.619999885559082,2.6600000858306885,2.569999933242798,2.5999999046325684,17516700,AMD
2015-06-25,2.5799999237060547,2.6600000858306885,2.569999933242798,2.619999885559082,18360200,AMD
2015-06-26,2.4700000286102295,2.549999952316284,2.369999885559082,2.5399999618530273,97054200,AMD
2015-06-29,2.3399999141693115,2.4200000762939453,2.309999942779541,2.4100000858306885,22971500,AMD
2015-06-30,2.4000000953674316,2.430000066757202,2.3499999046325684,2.430000066757202,19381300,AMD
2015-07-01,2.4200000762939453,2.4800000190734863,2.359999895095825,2.4700000286102295,19375000,AMD
2015-07-02,2.5299999713897705,2.630000114440918,2.390000104904175,2.430000066757202,31185900,AMD
2015-07-06,2.4700000286102295,2.5399999618530273,2.440000057220459,2.4600000381469727,20349400,AMD
2015-07-07,2.0899999141693115,2.140000104904175,2.0199999809265137,2.0399999618530273,46418700,AMD
2015-07-08,2.009999990463257,2.069999933242798,2.009999990463257,2.069999933242798,15302900,AMD
2015-07-09,1.9800000190734863,2.059999942779541,1.9299999475479126,2.0399999618530273,23378200,AMD
2015-07-10,1.9600000381469727,2.0299999713897705,1.9500000476837158,2.0,17520800,AMD
